"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","plot_label"
"A_21_P0012767",0.855299700000002,6.8373599,2.8753392297723,0.0236342470886696,0.0236342470886696,-4.18092568719969,"XLOC_l2_011027","XLOC_l2_011027"
"A_33_P3258767",-2.202472075,2.9209899875,-2.87384702959735,0.0236848929579192,0.0236848929579192,-4.18120668195897,"LOC100130480","LOC100130480"
"A_33_P3268734",-0.68490675,3.3125238,-2.87375020271237,0.023688183247904,0.023688183247904,-4.1812249204969,"","A_33_P3268734"
"A_21_P0012248",0.386078624999998,8.6931034375,2.87367757870296,0.0236906514120247,0.0236906514120247,-4.18123860053759,"XLOC_l2_009292","XLOC_l2_009292"
"A_19_P00324550",1.30486685,2.724305575,2.87210299572292,0.0237442310701082,0.0237442310701082,-4.18153528862661,"GALNT9","GALNT9"
"A_23_P209700",-2.72457575,5.960971275,-2.87140569966011,0.0237679993068401,0.0237679993068401,-4.18166672858586,"NMUR1","NMUR1"
"A_33_P3388815",-0.410385149999999,6.99027525,-2.87135762359554,0.0237696389646342,0.0237696389646342,-4.18167579210226,"FPGT","FPGT"
"A_21_P0003613",0.902294875,4.0739882875,2.87120300465005,0.0237749131273714,0.0237749131273714,-4.18170494261429,"XLOC_003548","XLOC_003548"
"A_24_P245108",0.408072249999999,7.153577225,2.86904115136864,0.0238487847003332,0.0238487847003332,-4.18211268766117,"USP7","USP7"
"A_21_P0000920",0.92410855,1.87060355,2.86662621624536,0.0239315900740709,0.0239315900740709,-4.18256853707195,"XLOC_000505","XLOC_000505"
"A_21_P0000283",0.576529599999999,5.5317427,2.8662618670165,0.0239441094516227,0.0239441094516227,-4.18263734655395,"SNORD53","SNORD53"
"A_21_P0012106",0.8885219,3.709402925,2.86530849038516,0.0239769009953723,0.0239769009953723,-4.18281743945903,"LOC646324","LOC646324"
"A_33_P3318187",0.362971249999998,8.805996625,2.86486380049096,0.0239922123427546,0.0239922123427546,-4.18290146226921,"CENPBD1","CENPBD1"
"A_21_P0012263",1.091841325,4.6989030625,2.86469840593515,0.0239979097540706,0.0239979097540706,-4.18293271645606,"XLOC_l2_009332","XLOC_l2_009332"
"A_33_P3417960",-1.457865975,2.8192691125,-2.86104188642604,0.0241242318011133,0.0241242318011133,-4.18362414855934,"LOC645206","LOC645206"
"A_33_P3361278",0.902148975,2.0653394125,2.860171285397,0.0241544115601296,0.0241544115601296,-4.18378890772817,"","A_33_P3361278"
"A_33_P3388564",0.688460425000002,4.5888936375,2.85953270579971,0.0241765734589804,0.0241765734589804,-4.18390978973583,"CYB5D1","CYB5D1"
"A_19_P00317872",0.9899125,7.619932275,2.85915079738293,0.0241898378130197,0.0241898378130197,-4.18398209741426,"PVT1","PVT1"
"A_21_P0011878",0.707169225,3.4952697375,2.8573049977023,0.0242540537463463,0.0242540537463463,-4.18433170529098,"XLOC_l2_007788","XLOC_l2_007788"
"A_23_P152406",-1.79650465,7.528658575,-2.85638719364741,0.0242860511874029,0.0242860511874029,-4.18450562917404,"CAPNS2","CAPNS2"
"A_23_P148737",-2.7868997,5.672828425,-2.85618753696495,0.0242930177077067,0.0242930177077067,-4.18454347160622,"MYBPH","MYBPH"
"A_33_P3363799",1.536725375,10.1143073125,2.85462048450378,0.0243477691596017,0.0243477691596017,-4.18484057975618,"NCAM1","NCAM1"
"A_24_P324640",0.547880025,7.5044245875,2.85422117187588,0.0243617415449174,0.0243617415449174,-4.18491631450946,"ZNF544","ZNF544"
"A_33_P3324181",0.789626325,2.4465215875,2.85312125144669,0.0244002726076601,0.0244002726076601,-4.18512498384878,"LOC283112","LOC283112"
"A_24_P32139",0.92815585,3.517489475,2.85291137158489,0.0244076321435355,0.0244076321435355,-4.18516481003902,"HTR3E","HTR3E"
"A_21_P0014804",0.461699825,4.0742943875,2.8528830390776,0.0244086258151108,0.0244086258151108,-4.18517018655946,"LOC100506201","LOC100506201"
"A_21_P0011125",0.700642775,1.8888797625,2.85256828496015,0.0244196676668908,0.0244196676668908,-4.18522991952326,"XLOC_l2_003627","XLOC_l2_003627"
"A_21_P0001875",-1.06744265,4.558789775,-2.84822791378396,0.0245724687472483,0.0245724687472483,-4.18605429851545,"XLOC_001515","XLOC_001515"
"A_33_P3243600",-0.398304475,1.8178598375,-2.84807379574425,0.0245779128693862,0.0245779128693862,-4.18608359384024,"","A_33_P3243600"
"A_33_P3275500",1.07283455,2.5656549,2.84682328800857,0.0246221332026493,0.0246221332026493,-4.18632135391333,"LOC400743","LOC400743"
"A_32_P223017",0.594762749999999,8.464073625,2.84577014358572,0.0246594393083454,0.0246594393083454,-4.18652167056625,"MAP3K6","MAP3K6"
"A_19_P00318878",-0.650995749999998,9.811014625,-2.84467149775308,0.0246984206006665,0.0246984206006665,-4.18673072130734,"","A_19_P00318878"
"A_33_P3248580",-2.309799075,7.0884747125,-2.84465821883974,0.0246988921488859,0.0246988921488859,-4.18673324851954,"","A_33_P3248580"
"A_23_P432626",-0.629440575000001,5.8851634875,-2.84448663910861,0.0247049859777893,0.0247049859777893,-4.18676590424342,"SLC25A40","SLC25A40"
"A_33_P3287610",-1.710391325,2.7580275875,-2.84442646082472,0.0247071236453666,0.0247071236453666,-4.18677735807733,"","A_33_P3287610"
"A_33_P3243787",1.2521694,2.0928196,2.84416391641412,0.0247164520874468,0.0247164520874468,-4.18682733144018,"COL28A1","COL28A1"
"A_33_P3377239",-0.5866378,4.78821575,-2.84374138444357,0.0247314728116911,0.0247314728116911,-4.18690776695324,"LOC100270804","LOC100270804"
"A_21_P0011731",-0.467984749999999,10.620482875,-2.84348064952351,0.0247407465503326,0.0247407465503326,-4.18695740786837,"ZNF98","ZNF98"
"A_33_P3436316",0.392556375000002,9.4757976875,2.8430930563457,0.0247545391035379,0.0247545391035379,-4.18703120956406,"ASXL1","ASXL1"
"A_21_P0005733",-0.540832425,1.6237862375,-2.84305334033314,0.0247559528596348,0.0247559528596348,-4.18703877246771,"XLOC_006865","XLOC_006865"
"A_23_P56298",-0.819199225,6.0501449125,-2.84158518969462,0.0248082736985914,0.0248082736985914,-4.18731841869285,"ZNF430","ZNF430"
"A_33_P3711933",1.2029145,7.6078055,2.84064620199429,0.0248417975867005,0.0248417975867005,-4.1874973483912,"ARHGAP42","ARHGAP42"
"A_23_P53370",-1.007238025,3.3238390375,-2.84038918264277,0.0248509820338439,0.0248509820338439,-4.18754633527731,"RND1","RND1"
"A_23_P164946",0.659629624999999,8.2443173125,2.84007576133574,0.0248621868062791,0.0248621868062791,-4.18760607815736,"FKRP","FKRP"
